school_name,street,postcode,easting,northing,web_site,school_group,maintain_status,lea_no,dcfs_no,_geom
Kings Norton Nursery School,Westhill Road,B38 8SY,404517,279360,http://www.kingsnortonnurseryschool.org.uk/,Nursery,LA Nursery School,330,1016,"{""type"":""Point"",""coordinates"":[-1.93501825554378,52.4122316770942]}"
Kings Rise Academy,Hornsey Road,B44 0JL,408535,294635,http://www.kingrise.bham.sch.uk/,Primary,Academy Sponsor Led,330,2073,"{""type"":""Point"",""coordinates"":[-1.87556182979105,52.5495058456117]}"
Kingsbury School and Sports College,Kingsbury Road,B24 8RE,411076,290747,http://www.kingsbury.bham.sch.uk/,Secondary,Community School,330,4330,"{""type"":""Point"",""coordinates"":[-1.83823183965747,52.5145081732541]}"
Kingsland Primary School (NC),Kingsland Road,B44 9PU,407712,295533,http://www.kingsland.bham.sch.uk/,Primary,Community School,330,2115,"{""type"":""Point"",""coordinates"":[-1.88767827869456,52.5575908380646]}"
Kingsthorne Primary School,Cranbourne Road,B44 0BX,408070,294053,http://www.kingsthorneprimary.co.uk/,Primary,Community School,330,2441,"{""type"":""Point"",""coordinates"":[-1.88244791223413,52.5442897228163]}"
Kitwell Primary School and Nursery Class,Wychbury Road,B32 4DL,399424,281435,http://kitwellschool.com/,Primary,Community School,330,2321,"{""type"":""Point"",""coordinates"":[-2.00989739804487,52.4309122130295]}"
Ladypool Primary School,Stratford Road,B11 1QT,408643,284809,http://www.ladypool.bham.sch.uk/,Primary,Community School,330,2189,"{""type"":""Point"",""coordinates"":[-1.87423552009382,52.4611694822201]}"
Lakey Lane Junior and Infant School,Lakey Lane,B28 8RY,411593,281518,http://www.lakeyln.bham.sch.uk/,Primary,Community School,330,2119,"{""type"":""Point"",""coordinates"":[-1.83091651763247,52.4315383801671]}"
Langley School,Trinity Road,B75 6TJ,411921,298045,http://www.langley.bham.sch.uk/,Special,Foundation School,330,7060,"{""type"":""Point"",""coordinates"":[-1.82551112398344,52.5800995256501]}"
Lea Forest Primary Academy,Hurstcroft Road,B33 9RD,414618,287267,http://leaforestacademy.org/,Primary,Academy Sponsor Led,330,2096,"{""type"":""Point"",""coordinates"":[-1.78617548507173,52.4831496619188]}"
Leigh Primary School,Leigh Road,B8 2YH,410468,288867,http://www.leighji.bham.sch.uk/,Primary,Academy Converter,330,2453,"{""type"":""Point"",""coordinates"":[-1.84724953012375,52.4976190545292]}"
Lillian de Lissa Nursery School,Bellevue,B5 7LX,406911,285280,http://www.ldelissa.bham.sch.uk/,Nursery,LA Nursery School,330,1024,"{""type"":""Point"",""coordinates"":[-1.8997024184248,52.4654369742163]}"
Lindsworth School,Monyhull Hall Road,B30 3QA,406500,279150,http://www.lindsworth.co.uk,Special,Community School,330,7062,"{""type"":""Point"",""coordinates"":[-1.90588380329993,52.4103242426655]}"
Little Sutton Primary School,Worcester Lane,B75 5NL,412829,299487,http://www.littlesu.bham.sch.uk/,Primary,Foundation School,330,2462,"{""type"":""Point"",""coordinates"":[-1.81205089167428,52.5930408932536]}"
Longwill A Primary School for Deaf Children,Bell Hill,B31 1LD,402055,280131,http://www.longwill.bham.sch.uk/,Special,Community School,330,7012,"{""type"":""Point"",""coordinates"":[-1.97120892587369,52.419177256103]}"
Lordswood Boys' School,Hagley Road,B17 8BJ,402471,286011,http://www.lordswoodboys.co.uk/,Secondary,Academy Converter,330,4057,"{""type"":""Point"",""coordinates"":[-1.96506532136963,52.4720458346659]}"
Lordswood Girls' School and Sixth Form Centre,Knightlow Road,B17 8QB,402476,285730,http://www.lordswoodgirls.co.uk/,Secondary,Academy Converter,330,4060,"{""type"":""Point"",""coordinates"":[-1.96499375169869,52.4695196353574]}"
Lozells Junior and Infant School and Nursery,Wheeler Street,B19 2EP,406865,289087,http://www.lozells.bham.sch.uk/,Primary,Community School,330,2127,"{""type"":""Point"",""coordinates"":[-1.90031709639173,52.4996622585944]}"
Lyndon Green Infant School,Wychwood Cresent,B26 1LZ,414043,284716,http://www.lyndongi.bham.sch.uk/,Infants,Community School,330,2129,"{""type"":""Point"",""coordinates"":[-1.79475336444093,52.4602268884406]}"
Lyndon Green Junior School,Wensley Road,B26 1LU,413978,284751,http://web.lyndongreen-jun.bham.sch.uk/,Juniors,Community School,330,2128,"{""type"":""Point"",""coordinates"":[-1.79570409105898,52.4605476748547]}"
Maney Hill Primary School,Maney Hill Road,B72 1JU,412566,294772,http://www.maneyhill.bham.sch.uk/,Primary,Community School,330,2420,"{""type"":""Point"",""coordinates"":[-1.81611036659118,52.5506602105104]}"
Manor Park Primary School,Church Lane,B6 5UQ,408422,289607,http://www.manorpark.bham.sch.uk/,Primary,Foundation School,330,5204,"{""type"":""Point"",""coordinates"":[-1.87736856687896,52.5043155374569]}"
Mansfield Green E-ACT Academy,Albert Road,B6 5NH,407045,289533,http://www.manfldgn.bham.sch.uk/,Primary,Academy Sponsor Led,330,2075,"{""type"":""Point"",""coordinates"":[-1.8976489245197,52.5036677193585]}"
Mapledene Primary School,Mapledene Road,B26 3XE,415980,284633,http://www.mapledene.bham.sch.uk/,Primary,Community School,330,2004,"{""type"":""Point"",""coordinates"":[-1.76624533601316,52.4594234370717]}"
Marlborough Infant School,Marlborough Road,B10 9NY,410330,286219,http://www.malbrghi.bham.sch.uk/,Infants,Community School,330,2132,"{""type"":""Point"",""coordinates"":[-1.84936107815764,52.4738191202499]}"
Marlborough Junior School,Green Lane,B10 9NY,410329,286255,http://www.mjs.bham.sch.uk/,Juniors,Community School,330,2283,"{""type"":""Point"",""coordinates"":[-1.84937490386829,52.4741431337777]}"
Marsh Hill Nursery School,275 Marsh Hill,B23 7HG,408856,291861,http://www.marshiln.bham.sch.uk/,Nursery,LA Nursery School,330,1012,"{""type"":""Point"",""coordinates"":[-1.87091555737265,52.5245630051241]}"
Marsh Hill Primary School,Marsh Hill,B23 7HY,409061,291928,http://www.marshill.bham.sch.uk/,Primary,Community School,330,2133,"{""type"":""Point"",""coordinates"":[-1.86789228672439,52.5251709050695]}"
Maryvale Catholic Primary School,Old Oscott Hill,B44 9AG,407414,294461,http://www.maryvaleprimary.org.uk/,Primary,Voluntary Aided School,330,3322,"{""type"":""Point"",""coordinates"":[-1.89209737850309,52.5479577891515]}"
Mayfield School,Heathfield Road,B19 1HJ,406208,289693,http://www.mayfield.bham.sch.uk/,Special,Community School,330,7040,"{""type"":""Point"",""coordinates"":[-1.90998403614262,52.5051178438778]}"
Mere Green Primary School,Mere Green Road,B75 5BL,411743,298969,http://www.meregrn.bham.sch.uk/,Primary,Academy Converter,330,2463,"{""type"":""Point"",""coordinates"":[-1.82811519384802,52.5884085211316]}"
Merritts Brook Primary E-ACT Academy,Trescott Road,B31 5QD,400640,279210,http://merrittsbrooke-actacademy.org.uk/,Primary,Academy Sponsor Led,330,2100,"{""type"":""Point"",""coordinates"":[-1.99202804922732,52.4109041316892]}"
Minworth Junior and Infant School,Water Orton Lane,B76 9BU,415797,292243,http://www.minworth.bham.sch.uk/,Primary,Community School,330,2406,"{""type"":""Point"",""coordinates"":[-1.76859485883992,52.5278505178653]}"
Montgomery Primary Academy,White Road,B11 1EH,409226,285071,http://www.montgomeryprimaryacademy.org/,Primary,Academy Sponsor Led,330,2070,"{""type"":""Point"",""coordinates"":[-1.86564787598774,52.4635243836656]}"
Moor Green Primary School,Moor Green Lane,B13 8QP,406346,282236,http://www.moorgreenprimary.co.uk/,Primary,Academy Sponsor Led,330,2078,"{""type"":""Point"",""coordinates"":[-1.9080902803689,52.4380692210063]}"
Moor Hall Primary School,Rowallan Road,B75 6RE,412637,298751,http://www.moorhall.bham.sch.uk/,Primary,Foundation School,330,2416,"{""type"":""Point"",""coordinates"":[-1.81491632806636,52.5864289104718]}"
Moseley Church of England Primary School,Oxford Road,B13 9EH,407957,282793,http://www.moseleyce.bham.sch.uk/,Primary,Voluntary Aided School,330,3003,"{""type"":""Point"",""coordinates"":[-1.88437921960571,52.4430559296814]}"
Moseley School,Wake Green Road,B13 9UU,409520,282607,http://www.moseley.bham.sch.uk/,Secondary,Foundation School,330,4245,"{""type"":""Point"",""coordinates"":[-1.86139001450341,52.4413591693637]}"
Nansen Primary School,Naseby Road,B8 3HG,410641,288179,http://www.nansen.bham.sch.uk/,Primary,Academy Sponsor Led,330,2038,"{""type"":""Point"",""coordinates"":[-1.84470830202742,52.4914396333569]}"
Nechells Primary E-ACT Academy,Eliot Street,B7 5LB,409383,289576,http://www.nechellse-actacademy.org.uk/,Primary,Academy Sponsor Led,330,2048,"{""type"":""Point"",""coordinates"":[-1.86321175955212,52.5040213616751]}"
Nelson Junior and Infant School,King Edward's Road,B1 2PJ,405756,287019,http://www.nelson.bham.sch.uk/,Primary,Community School,330,2142,"{""type"":""Point"",""coordinates"":[-1.91668843316781,52.4810746993321]}"
Nelson Mandela School,Colville Road,B12 8EH,408622,284281,http://www.nelsonmandelaschool.co.uk/home,Primary,Community School,330,2457,"{""type"":""Point"",""coordinates"":[-1.87455805071446,52.4564231173917]}"
New Hall Primary and Children's Centre,Langley Hall Drive,B75 7NQ,414967,296439,http://www.newhall.bham.sch.uk/,Primary,Community School,330,2469,"{""type"":""Point"",""coordinates"":[-1.78064134758265,52.5655860168699]}"
New Oscott Primary School,Markham Road,B73 6QR,409325,295271,http://www.newoscott.bham.sch.uk/,Primary,Community School,330,3431,"{""type"":""Point"",""coordinates"":[-1.86389377331869,52.5552195530636]}"
Newtown Nursery School,Hockley Close,B19 2NS,406856,288824,http://www.newtownn.bham.sch.uk/,Nursery,LA Nursery School,330,1028,"{""type"":""Point"",""coordinates"":[-1.90044037351195,52.497289069441]}"
"Ninestiles School, an Academy",Hartfield Crescent,B27 7QG,411477,282392,http://www.ninestiles.org.uk/,Secondary,Academy Converter,330,5411,"{""type"":""Point"",""coordinates"":[-1.83259291410692,52.4393980490155]}"
Nishkam High School,Great King Street North,B19 2LF,406384,288647,http://www.nishkamschooltrust.org/,Secondary,Free Schools,330,4004,"{""type"":""Point"",""coordinates"":[-1.90741084169991,52.4957034976313]}"
Nishkam Primary School Birmingham,1-7 Soho Road,B21 9SN,405244,289228,http://www.nishkamschooltrust.org/overview-primary/,Primary,Free Schools,330,2032,"{""type"":""Point"",""coordinates"":[-1.92417866840689,52.5009474644105]}"
Nonsuch Primary School,Wood Leasow,B32 3SE,400580,282921,http://www.nonsuchprimaryschool.co.uk/,Primary,Community School,330,2315,"{""type"":""Point"",""coordinates"":[-1.99289322493991,52.444262686987]}"
North Birmingham Academy,395 College Road,B44 0HF,408600,292897,http://www.nbacademy.org.uk/,Secondary,Academy Sponsor Led,330,6909,"{""type"":""Point"",""coordinates"":[-1.87465049744939,52.5338849668827]}"
Northfield Manor Primary Academy,Swarthmore Road,B29 4JT,402679,281292,http://www.nthfdman.bham.sch.uk/,Primary,Academy Converter,330,2263,"{""type"":""Point"",""coordinates"":[-1.96203947300961,52.4296210987738]}"
Oasis Academy Blakenhale Infants,Blakenhale Road,B33 0XD,414880,286268,http://www.oasisacademyblakenhaleinfants.org/,Infants,Academy Sponsor Led,330,2102,"{""type"":""Point"",""coordinates"":[-1.78237641597525,52.4741617242502]}"
Oasis Academy Blakenhale Junior,Homestead Road,B33 0XG,414851,286183,http://www.oasisacademyblakenhalejunior.org/,Juniors,Academy Sponsor Led,330,2107,"{""type"":""Point"",""coordinates"":[-1.78280712329953,52.473389417396]}"
Oasis Academy Boulton,Boulton Road,B21 0RE,404271,289288,http://www.oasisacademyboulton.org/,Primary,Academy Sponsor Led,330,2117,"{""type"":""Point"",""coordinates"":[-1.93851127351381,52.5014861741767]}"
Oasis Academy Foundry,Foundry Road,B18 4LP,404067,288488,http://www.foundry.bham.sch.uk/,Primary,Academy Sponsor Led,330,2141,"{""type"":""Point"",""coordinates"":[-1.94154062446029,52.4942957477481]}"
Oasis Academy Hobmoor,Wash Lane,B25 8FD,412351,285491,http://www.oasisacademyhobmoor.org/,Primary,Academy Sponsor Led,330,2110,"{""type"":""Point"",""coordinates"":[-1.81963704147548,52.4672355047763]}"
Oasis Academy Short Heath,Streetly Road,B23 5JP,409689,292925,http://www.oasisacademyshortheath.org/,Primary,Academy Sponsor Led,330,2103,"{""type"":""Point"",""coordinates"":[-1.85860738783969,52.5341141756549]}"
Oasis Academy Woodview,Woodview Drive,B15 2HU,406494,285470,http://www.oasisacademywoodview.org/,Primary,Academy Sponsor Led,330,2105,"{""type"":""Point"",""coordinates"":[-1.90583675103964,52.4671411587936]}"
